index,share,m1R,m1P,m2R,m2P,m3R,m3P,m1E,m2E,m3E,m1EQ,m2EQ,m3EQ,variance,stdDev
0,GGRC11.SA,11.899993896484375,0.08616939442829927,-9.529998779296875,-0.0635333251953125,3.2299957275390625,0.023535380342869113,-56.99190816863891,23.2227065203135,4.391313120476179,3248.07759670257,539.2940981286112,19.283630922066234,1903.3276628766237,43.62714364792432
1,HABT11.SA,14.629997253417969,0.13315733947110597,-9.25,-0.07523995295517089,-1.2099990844726562,-0.010530888323792828,-52.29311366435824,22.052043744327666,0.9846862538099841,2734.5697367134903,486.2926333017409,0.9696070184423404,1610.9159885168367,40.13621791495602
2,HFOF11.SA,17.87999725341797,0.16417222157929792,-8.300003051757812,-0.06545743574130578,3.5699996948242188,0.031062383062252952,-49.19162545353905,23.030295465714175,5.144013392414562,2419.8160147612707,530.3945092380949,26.460873781340375,1488.3356988903531,38.57895409274794
3,UBSR11.SA,5.730003356933594,0.054571460542224705,-2.4599990844726562,-0.022394165850190637,2.2900009155273438,0.021788781624875225,-60.15170155724636,27.336622454825687,4.216653248676789,3618.227200232034,747.29092723768,17.78016461957652,2191.6491460446455,46.81505255838815
4,THRA11.SA,2.4900054931640625,0.016598930633589172,-2.25,-0.014754098360655738,-6.029998779296875,-0.038584584248766304,-63.94895454810992,28.10062920377918,-1.8206833386873635,4089.468787796228,789.6453616482873,3.314887819773765,2441.2145186321445,49.40864821700898
5,TGAR11.SA,0.0,0.0,0.0,0.0,-10.579998779296886,-0.08027313186112964,-65.60884761146883,29.576039039844755,-5.989538099923697,4304.5208849049395,874.742085286421,35.87456665043757,2607.568768420899,51.06435908166183
6,HGBS11.SA,15.3900146484375,0.05381124002950175,-16.3900146484375,-0.054381412295812004,2.0,0.007067137809187279,-60.22772360851866,24.137897810263553,2.744488867107995,3627.3786910641156,582.638110698726,7.532219141679724,2108.774510452261,45.921394909696076
7,HGPO11.SA,28.94000244140625,0.14760788943066955,0.0,0.0,5.470001220703125,0.025557170732611517,-50.848058668401876,29.576039039844755,4.5934921594504186,2585.5250703452393,874.742085286421,21.10017021893247,1740.6836629252964,41.72150120651577
