index,share,m1R,m1P,m2R,m2P,m3R,m3P,m1E,m2E,m3E,m1EQ,m2EQ,m3EQ,variance,stdDev,GGRC11.SA,HABT11.SA,HFOF11.SA,UBSR11.SA,THRA11.SA,TGAR11.SA,HGBS11.SA,HGPO11.SA
0,GGRC11.SA,11.899993896484375,0.08616939442829927,-9.529998779296875,-0.0635333251953125,3.2299957275390625,0.023535380342869113,3.9997944852443386,-10.97047747711684,-2.263606923298677,15.998355924191022,120.35137607592785,5.123916303205702,70.73682415166229,8.410518661275432,70.73682415166229,90.9719327724785,125.14207238270669,45.64832381825689,-1.1836687074145906,-27.97792774843575,42.79108005990964,106.58031011194393
1,HABT11.SA,14.629997253417969,0.13315733947110597,-9.25,-0.07523995295517089,-1.2099990844726562,-0.010530888323792828,8.577084127896372,-12.262645114731315,-5.7917386515935085,73.56637213701187,150.3724652098438,33.54423660836219,128.74153697760894,11.346432786457996,90.9719327724785,128.74153697760894,163.0416085933776,56.3966731685944,9.928644324735247,-14.792576153921829,57.452308328283635,137.9580997052271
2,HFOF11.SA,17.87999725341797,0.16417222157929792,-8.300003051757812,-0.06545743574130578,3.5699996948242188,0.031062383062252952,3.4395052679052824,-19.523460464155086,-9.871478583799215,11.83019648794819,381.1655084954267,97.44608943040656,245.22089720689073,15.659530555124912,125.14207238270669,163.0416085933776,245.22089720689073,90.52679333258865,-11.378306852166007,-64.55547281585308,67.28329279417224,237.49926509089696
3,UBSR11.SA,5.730003356933594,0.054571460542224705,-2.4599990844726562,-0.022394165850190637,2.2900009155273438,0.021788781624875225,0.060538422531541264,-7.636024216709993,-3.217729469203406,0.003664900602607423,58.30886583818146,10.353782936980034,34.33315683788205,5.8594502163498285,45.64832381825689,56.3966731685944,90.52679333258865,34.33315683788205,-7.935888627512493,-30.405398503410066,23.2949219443533,89.78538289011594
4,THRA11.SA,2.4900054931640625,0.016598930633589172,-2.25,-0.014754098360655738,-6.029998779296875,-0.038584584248766304,5.333868260942205,2.1985653615177134,-0.18448322729334304,28.450150625086618,4.833689648865514,0.03403406115256727,16.65893716755235,4.081536128414442,-1.1836687074145906,9.928644324735247,-11.378306852166007,-7.935888627512493,16.65893716755235,30.232601870546574,5.920891348619187,-24.490105254707466
5,TGAR11.SA,0.0,0.0,0.0,0.0,-10.579998779296886,-0.08027313186112964,8.027313186112965,8.027313186112965,0.0,64.43775698794308,64.43775698794308,0.0,64.43775698794308,8.027313186112965,-27.97792774843575,-14.792576153921829,-64.55547281585308,-30.405398503410066,30.232601870546574,64.43775698794308,-5.444165284791243,-79.76027922221918
6,HGBS11.SA,15.3900146484375,0.05381124002950175,-16.3900146484375,-0.054381412295812004,2.0,0.007067137809187279,4.731427448662473,-6.0878377838689035,0.057017226631025236,22.386405701956676,37.06176888270184,0.0032509641326936936,29.725712774395607,5.452129196414517,42.79108005990964,57.452308328283635,67.28329279417224,23.2949219443533,5.920891348619187,-5.444165284791243,29.725712774395607,46.24313522546636
7,HGPO11.SA,28.94000244140625,0.14760788943066955,0.0,0.0,5.470001220703125,0.025557170732611517,-2.555717073261152,-17.316506016328105,-14.760788943066954,6.531689758558548,299.8613806135275,217.88089022176766,262.1369802969269,16.19064483882365,106.58031011194393,137.9580997052271,237.49926509089696,89.78538289011594,-24.490105254707466,-79.76027922221918,46.24313522546636,262.1369802969269
